"start_time","end_time","発電計画kW","需要計画kW"
2025-09-22 13:30:00.000 +0900,2025-09-22 14:00:00.000 +0900,0,532
2025-09-22 14:00:00.000 +0900,2025-09-22 14:30:00.000 +0900,0,532
2025-09-22 14:30:00.000 +0900,2025-09-22 15:00:00.000 +0900,0,532
2025-09-23 06:00:00.000 +0900,2025-09-23 06:30:00.000 +0900,0,1998
2025-09-23 06:30:00.000 +0900,2025-09-23 07:00:00.000 +0900,0,1998
2025-09-23 07:00:00.000 +0900,2025-09-23 07:30:00.000 +0900,0,1998
2025-09-23 07:30:00.000 +0900,2025-09-23 08:00:00.000 +0900,0,1998
2025-09-23 08:00:00.000 +0900,2025-09-23 08:30:00.000 +0900,0,1998
2025-09-23 08:30:00.000 +0900,2025-09-23 09:00:00.000 +0900,0,1998
2025-09-23 09:00:00.000 +0900,2025-09-23 09:30:00.000 +0900,0,0
2025-09-23 09:30:00.000 +0900,2025-09-23 10:00:00.000 +0900,0,0
2025-09-23 10:00:00.000 +0900,2025-09-23 10:30:00.000 +0900,0,0
2025-09-23 10:30:00.000 +0900,2025-09-23 11:00:00.000 +0900,0,0
2025-09-23 11:00:00.000 +0900,2025-09-23 11:30:00.000 +0900,0,0
2025-09-23 11:30:00.000 +0900,2025-09-23 12:00:00.000 +0900,0,0
2025-09-23 12:00:00.000 +0900,2025-09-23 12:30:00.000 +0900,0,532
2025-09-23 12:30:00.000 +0900,2025-09-23 13:00:00.000 +0900,0,532
2025-09-23 13:00:00.000 +0900,2025-09-23 13:30:00.000 +0900,0,532
2025-09-23 13:30:00.000 +0900,2025-09-23 14:00:00.000 +0900,0,532
2025-09-23 14:00:00.000 +0900,2025-09-23 14:30:00.000 +0900,0,532
